rusher_player_id,rusher_player_name,yards_above_expected,rush_attempts
00-0036329,A.Davis,16.89720111,1
00-0037809,C.Okonkwo,12.26776741,1
00-0039916,R.Pearsall,10.4775786433333,3
00-0035860,T.Jones,9.33248426,4
00-0039920,M.Corley,8.51954089,2
00-0037741,J.Dotson,8.26776741,1
00-0035140,M.Hardman,7.66776741,5
00-0039611,M.Hayball,7.40074807,1
00-0034960,J.Meyers,7.33425774,2
00-0039855,J.McMillan,6.77308785,4
00-0038123,D.Belton,6.14897459,1
00-0036900,J.Chase,5.93443407666667,3
00-0037240,J.Williams,5.65473587166667,12
00-0031800,T.Heinicke,4.95305056,2
00-0038705,E.Demercado,4.65384913166667,24
00-0038359,X.Smith,4.425125835,4
00-0035021,A.Dulin,4.368476802,5
00-0039901,K.Coleman,4.26776741,1
00-0037231,K.Austin,4.26776741,1
00-0032385,S.Shepard,4.1917484175,8
00-0036626,D.Brown,4.10228306333333,3
00-0035535,D.Slayton,4.08248426,2
00-0035208,O.Zaccheaus,4.02308785,1
00-0039376,S.Rattler,3.68660166333333,18
00-0039146,J.Reed,3.612891857,20
00-0039893,B.Thomas,3.43561639666667,6
00-0039851,D.Maye,3.28319988333333,54
00-0034407,R.McCloud,3.255888128,10
00-0033357,T.Hill,2.83819006076923,39
00-0035704,D.Lock,2.80352416222222,18
00-0034928,S.Sims,2.76776741,2
00-0037085,T.Badie,2.72125933461538,13
00-0037239,C.Olave,2.64542763,1
00-0035228,K.Murray,2.59540508225,80
00-0038128,M.Willis,2.432129564,20
00-0033307,K.Bourne,2.40074807,1
00-0037258,D.Pierce,2.29848762347826,46
00-0037091,B.Melton,2.2852767325,8
00-0039365,J.Cowing,2.26776741,1
00-0039751,J.Whittington,2.21191796,2
00-0034837,C.Ridley,2.1585032525,8
00-0038994,J.Addison,2.06032081666667,3
00-0033040,T.Hill,1.9399749375,8
00-0034351,D.Goedert,1.89365415,2
00-0036527,D.Turner,1.892944758,5
00-0034796,L.Jackson,1.73388149285714,161
00-0038951,S.Tucker,1.7072359728,50
00-0038117,W.Robinson,1.64542763,3
00-0035500,G.Dortch,1.644008846,5
00-0039064,Z.Flowers,1.57391412555556,9
00-0039918,C.Williams,1.52549478135802,81
00-0032764,D.Henry,1.51529431098093,367
00-0034855,B.Mayfield,1.48394754462687,67
00-0039164,A.Richardson,1.47389003574713,87
00-0038559,Mi.Wilson,1.38656023,1
00-0039150,B.Young,1.27510738116279,43
00-0037450,T.McAllister,1.27131437,2
